From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jun-2015,00:00,01-Jun-2015,00:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.76,0.0,,0.0,,0.0,0.0,0.03,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Jun-2015,00:15,01-Jun-2015,00:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.83,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Jun-2015,00:30,01-Jun-2015,00:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.82,0.0,,0.0,,0.0,0.0,0.04,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Jun-2015,00:45,01-Jun-2015,01:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-2015,01:00,01-Jun-2015,01:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.82,0.0,,0.0,,0.0,0.0,0.04,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Jun-2015,01:15,01-Jun-2015,01:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.96,0.0,,0.0,,,0.0,0.04,0.0,,,0.0,,,0.0,0.0,,,,,,,,,
01-Jun-2015,01:30,01-Jun-2015,01:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.82,0.0,,0.0,,0.0,0.0,0.04,0.0,,,0.0,,,0.0,0.0,,,,,,,,,
01-Jun-2015,01:45,01-Jun-2015,02:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-2015,02:00,01-Jun-2015,02:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.78,0.0,,0.0,,0.0,0.0,0.05,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Jun-2015,02:15,01-Jun-2015,02:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,23.84,0.0,,0.0,,,0.0,0.06,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
