From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2017,00:00,01-Nov-2017,00:15,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,00:15,01-Nov-2017,00:30,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,00:30,01-Nov-2017,00:45,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,00:45,01-Nov-2017,01:00,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,01:00,01-Nov-2017,01:15,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,01:15,01-Nov-2017,01:30,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,01:30,01-Nov-2017,01:45,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,01:45,01-Nov-2017,02:00,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,02:00,01-Nov-2017,02:15,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,02:15,01-Nov-2017,02:30,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
01-Nov-2017,02:30,01-Nov-2017,02:45,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
