From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2016,00:00,01-Dec-2016,00:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.48,353.38,,,17.68,44.89,19.44,847.25,,,,208.21,8.46,10.07,,,,0.17,,1.1,11.05,0.22,,,,-0.06,,,2.7,,1.47,,,,,,,,
01-Dec-2016,00:15,01-Dec-2016,00:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.37,,,17.3,41.56,19.54,846.07,,,,205.91,7.44,10.3,,,,0.7,,1.07,10.75,0.21,,,,-0.06,,,1.29,,1.43,,,,,,,,
01-Dec-2016,00:30,01-Dec-2016,00:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.37,,,17.06,47.63,19.54,845.32,,,,182.36,7.0,10.28,,,,7.15,,1.06,10.6,0.21,,,,-0.06,,,0.77,,1.41,,,,,,,,
01-Dec-2016,00:45,01-Dec-2016,01:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.39,,,16.77,56.37,19.55,854.92,,,,182.36,7.88,10.47,,,,8.06,,1.28,12.79,0.25,,,,-0.05,,,1.64,,1.7,,,,,,,,
01-Dec-2016,01:00,01-Dec-2016,01:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.38,,,16.34,61.32,19.55,852.2,,,,182.36,7.75,10.25,,,,0.77,,1.22,12.16,0.24,,,,-0.05,,,2.35,,1.62,,,,,,,,
01-Dec-2016,01:15,01-Dec-2016,01:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.38,,,16.29,71.94,19.44,862.05,,,,182.62,8.29,10.09,,,,3.98,,1.45,14.49,0.29,,,,-0.05,,,1.47,,1.93,,,,,,,,
01-Dec-2016,01:30,01-Dec-2016,01:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.39,,,16.17,81.02,19.51,864.78,,,,185.28,7.66,10.17,,,,1.6,,1.5,15.0,0.3,,,,-0.05,,,3.32,,2.0,,,,,,,,
01-Dec-2016,01:45,01-Dec-2016,02:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.39,,,16.36,91.99,19.54,879.88,,,,185.28,7.64,10.15,,,,3.06,,1.87,18.75,0.37,,,,-0.05,,,2.4,,2.5,,,,,,,,
01-Dec-2016,02:00,01-Dec-2016,02:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.37,353.39,,,16.55,94.49,19.55,871.97,,,,185.28,8.49,10.19,,,,0.79,,1.68,16.81,0.34,,,,-0.05,,,2.39,,2.24,,,,,,,,
01-Dec-2016,02:15,01-Dec-2016,02:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.39,,,16.45,95.81,19.55,861.38,,,,185.27,9.3,10.11,,,,0.03,,1.44,14.39,0.29,,,,-0.05,,,3.17,,1.92,,,,,,,,
01-Dec-2016,02:30,01-Dec-2016,02:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.41,353.41,,,16.84,106.07,19.53,875.41,,,,185.19,7.77,10.35,,,,8.85,,1.74,17.45,0.35,,,,-0.05,,,1.72,,2.33,,,,,,,,
01-Dec-2016,02:45,01-Dec-2016,03:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.41,,,16.71,94.52,19.55,898.46,,,,185.19,7.35,10.51,,,,5.31,,2.27,22.74,0.45,,,,-0.06,,,1.73,,3.03,,,,,,,,
01-Dec-2016,03:00,01-Dec-2016,03:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.42,,,16.73,103.69,19.41,900.25,,,,185.19,6.92,10.44,,,,0.26,,2.33,23.29,0.46,,,,-0.06,,,1.62,,3.1,,,,,,,,
01-Dec-2016,03:15,01-Dec-2016,03:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.37,353.37,,,16.73,113.94,19.49,901.58,,,,183.7,8.32,9.95,,,,3.91,,2.36,23.56,0.47,,,,-0.06,,,1.94,,3.14,,,,,,,,
01-Dec-2016,03:30,01-Dec-2016,03:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.35,353.35,,,16.96,112.48,19.5,884.62,,,,168.35,8.81,10.25,,,,13.89,,2.0,19.99,0.4,,,,-0.06,,,2.67,,2.66,,,,,,,,
01-Dec-2016,03:45,01-Dec-2016,04:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.37,353.35,,,16.9,109.37,19.54,907.27,,,,168.35,8.7,10.11,,,,1.16,,2.46,24.64,0.49,,,,-0.06,,,2.44,,3.28,,,,,,,,
01-Dec-2016,04:00,01-Dec-2016,04:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.42,353.35,,,17.02,109.84,19.53,923.65,,,,168.35,8.22,9.9,,,,1.57,,2.87,28.71,0.57,,,,-0.06,,,2.93,,3.83,,,,,,,,
01-Dec-2016,04:15,01-Dec-2016,04:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.37,353.35,,,16.89,106.89,19.55,912.76,,,,172.06,6.7,10.18,,,,0.29,,2.63,26.31,0.53,,,,-0.07,,,2.01,,3.51,,,,,,,,
01-Dec-2016,04:30,01-Dec-2016,04:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.36,353.35,,,16.88,109.39,19.55,901.02,,,,210.02,7.84,10.13,,,,1.18,,2.34,23.38,0.47,,,,-0.07,,,3.2,,3.12,,,,,,,,
01-Dec-2016,04:45,01-Dec-2016,05:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.35,,,16.78,112.13,19.54,895.44,,,,210.02,7.75,10.01,,,,0.87,,2.21,22.15,0.44,,,,-0.07,,,2.83,,2.95,,,,,,,,
01-Dec-2016,05:00,01-Dec-2016,05:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.34,353.35,,,16.7,115.55,19.55,873.62,,,,210.02,7.92,9.86,,,,,,1.73,17.31,0.35,,,,-0.07,,,3.09,,2.31,,,,,,,,
01-Dec-2016,05:15,01-Dec-2016,05:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.35,,,16.54,121.68,19.52,913.02,,,,210.11,7.75,9.84,,,,0.25,,2.62,26.25,0.52,,,,-0.07,,,3.56,,3.5,,,,,,,,
01-Dec-2016,05:30,01-Dec-2016,05:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.35,,,16.02,118.96,19.55,897.03,,,,210.97,7.61,9.71,,,,2.37,,2.21,22.09,0.44,,,,-0.06,,,4.11,,2.94,,,,,,,,
01-Dec-2016,05:45,01-Dec-2016,06:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.33,353.35,,,15.82,128.03,19.55,909.34,,,,210.97,7.42,10.01,,,,0.05,,2.56,25.58,0.51,,,,-0.06,,,3.58,,3.41,,,,,,,,
01-Dec-2016,06:00,01-Dec-2016,06:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.6,353.35,,,16.49,137.17,19.36,915.15,,,,210.97,7.65,10.19,,,,11.78,,2.68,26.78,0.53,,,,-0.06,,,1.25,,3.57,,,,,,,,
01-Dec-2016,06:15,01-Dec-2016,06:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.84,353.36,,,16.63,137.68,19.29,899.84,,,,210.89,7.32,10.41,,,,4.89,,2.36,23.57,0.47,,,,-0.01,,,2.14,,3.14,,,,,,,,
01-Dec-2016,06:30,01-Dec-2016,06:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.4,353.36,,,16.53,137.67,19.53,951.07,,,,210.12,8.68,10.24,,,,3.75,,3.34,33.4,0.67,,,,-0.01,,,2.69,,4.45,,,,,,,,
01-Dec-2016,06:45,01-Dec-2016,07:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.35,353.36,,,16.46,137.67,19.55,976.68,,,,210.12,8.07,10.21,,,,0.33,,4.0,39.98,0.8,,,,-0.01,,,3.39,,5.33,,,,,,,,
01-Dec-2016,07:00,01-Dec-2016,07:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.6,353.36,,,16.52,137.67,19.55,963.33,,,,210.12,7.48,10.12,,,,5.27,,3.73,37.35,0.75,,,,0.02,,,3.1,,4.98,,,,,,,,
01-Dec-2016,07:15,01-Dec-2016,07:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.61,353.37,,,16.54,137.67,19.57,999.99,,,,203.04,7.39,10.23,,,,1.36,,4.56,45.59,0.91,,,,0.01,,,3.02,,6.08,,,,,,,,
01-Dec-2016,07:30,01-Dec-2016,07:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.63,353.39,,,16.59,137.67,19.7,999.99,,,,130.51,7.26,10.29,,,,8.8,,4.61,46.06,0.92,,,,0.04,,,3.53,,6.14,,,,,,,,
01-Dec-2016,07:45,01-Dec-2016,08:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.52,353.41,,,16.71,137.65,19.82,999.99,,,,130.51,8.5,10.02,,,,8.27,,4.14,41.37,0.83,,,,,,,3.99,,5.51,,,,,,,,
01-Dec-2016,08:00,01-Dec-2016,08:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.59,353.41,,,16.76,137.65,20.01,962.77,,,,130.51,8.4,9.97,,,,22.09,,3.06,30.59,0.61,,,,-0.01,,,3.11,,4.08,,,,,,,,
01-Dec-2016,08:15,01-Dec-2016,08:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.48,353.41,,,16.87,137.63,20.27,812.35,,,,130.72,8.86,9.85,,,,2.97,,0.28,2.84,0.06,,,,-0.04,,,3.42,,0.38,,,,,,,,
01-Dec-2016,08:30,01-Dec-2016,08:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.68,353.41,,,16.94,137.62,20.39,811.64,,,,132.91,8.88,9.95,,,,7.1,,0.27,2.7,0.05,,,,-0.06,,,4.08,,0.36,,,,,,,,
01-Dec-2016,08:45,01-Dec-2016,09:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.57,353.4,,,16.98,137.62,20.57,812.1,,,,132.91,7.64,10.31,,,,4.17,,0.28,2.8,0.05,,,,-0.07,,,4.23,,0.37,,,,,,,,
01-Dec-2016,09:00,01-Dec-2016,09:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.63,353.41,,,16.99,137.61,20.87,818.55,,,,132.91,7.07,10.29,,,,0.43,,0.43,4.3,0.09,,,,-0.08,,,3.97,,0.57,,,,,,,,
01-Dec-2016,09:15,01-Dec-2016,09:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.88,353.42,,,16.95,137.62,21.02,938.59,,,,133.34,6.5,10.56,,,,0.89,,3.04,30.37,0.61,,,,-0.07,,,4.35,,4.05,,,,,,,,
01-Dec-2016,09:30,01-Dec-2016,09:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.73,353.41,,,17.13,137.6,21.28,893.84,,,,137.76,6.78,10.41,,,,0.99,,1.83,18.35,0.37,,,,-0.04,,,4.25,,2.45,,,,,,,,
01-Dec-2016,09:45,01-Dec-2016,10:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.79,353.43,,,17.28,137.58,21.74,905.28,,,,137.76,6.8,10.26,,,,2.32,,2.31,23.14,0.46,,,,-0.04,,,4.42,,3.08,,,,,,,,
01-Dec-2016,10:00,01-Dec-2016,10:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.66,353.44,,,17.57,137.53,22.44,999.99,,,,137.76,6.83,10.16,,,,8.97,,4.37,43.69,0.87,,,,-0.03,,,4.43,,5.82,,,,,,,,
01-Dec-2016,10:15,01-Dec-2016,10:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.62,353.46,,,17.8,137.5,23.16,999.99,,,,140.17,7.95,10.22,,,,7.43,,4.18,41.79,0.83,,,,-0.03,,,4.59,,5.57,,,,,,,,
01-Dec-2016,10:30,01-Dec-2016,10:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.76,353.44,,,18.19,133.47,23.43,941.01,,,,164.88,7.0,10.41,,,,0.71,,2.59,25.9,0.52,,,,-0.01,,,4.21,,3.45,,,,,,,,
01-Dec-2016,10:45,01-Dec-2016,11:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.77,353.48,,,18.42,108.46,23.93,828.18,,,,164.88,7.44,10.11,,,,0.37,,0.65,6.51,0.13,,,,-0.01,,,4.28,,0.87,,,,,,,,
01-Dec-2016,11:00,01-Dec-2016,11:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.92,353.49,,,18.93,40.98,25.34,873.98,,,,164.88,8.02,9.92,,,,3.67,,1.61,16.11,0.32,,,,-0.04,,,4.74,,2.15,,,,,,,,
01-Dec-2016,11:15,01-Dec-2016,11:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.99,353.41,,,19.5,40.62,25.0,838.05,,,,162.34,8.32,10.03,,,,1.24,,0.78,7.76,0.15,,,,-0.07,,,4.88,,1.03,,,,,,,,
01-Dec-2016,11:30,01-Dec-2016,11:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",0.95,353.38,,,19.87,40.62,23.97,820.36,,,,136.35,8.41,10.18,,,,2.39,,0.41,4.11,0.08,,,,-0.09,,,4.65,,0.55,,,,,,,,
