﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2010,00:00,01-Mar-2010,00:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,00:15,01-Mar-2010,00:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,00:30,01-Mar-2010,00:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,00:45,01-Mar-2010,01:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,01:00,01-Mar-2010,01:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,01:15,01-Mar-2010,01:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,01:30,01-Mar-2010,01:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,01:45,01-Mar-2010,02:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,02:00,01-Mar-2010,02:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,02:15,01-Mar-2010,02:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,02:30,01-Mar-2010,02:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,02:45,01-Mar-2010,03:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,03:00,01-Mar-2010,03:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,03:15,01-Mar-2010,03:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,03:30,01-Mar-2010,03:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,03:45,01-Mar-2010,04:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,04:00,01-Mar-2010,04:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,04:15,01-Mar-2010,04:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,04:30,01-Mar-2010,04:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,04:45,01-Mar-2010,05:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,05:00,01-Mar-2010,05:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,05:15,01-Mar-2010,05:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,05:30,01-Mar-2010,05:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,05:45,01-Mar-2010,06:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,06:00,01-Mar-2010,06:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,06:15,01-Mar-2010,06:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,06:30,01-Mar-2010,06:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,06:45,01-Mar-2010,07:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-2010,07:00,01-Mar-2010,07:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,07:15,01-Mar-2010,07:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,07:30,01-Mar-2010,07:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
01-Mar-2010,07:45,01-Mar-2010,08:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
