﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:15,01-Jul-2018,00:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:30,01-Jul-2018,00:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:00,01-Jul-2018,01:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:15,01-Jul-2018,01:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:30,01-Jul-2018,01:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:00,01-Jul-2018,02:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:15,01-Jul-2018,02:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:30,01-Jul-2018,02:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:45,01-Jul-2018,03:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:00,01-Jul-2018,03:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:15,01-Jul-2018,03:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:30,01-Jul-2018,03:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
