﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2018,00:00,01-Aug-2018,00:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",28.2,740.0,132.0,48.0,57.0,6.0,32.8,3.5,222.0,0.3,0.85,0.7,,21.3,18.6,0.5,10.3,53.0,1.3
01-Aug-2018,00:15,01-Aug-2018,00:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.8,740.0,132.0,48.0,58.0,6.0,32.7,2.7,237.0,0.3,0.84,0.5,,20.6,18.3,0.4,10.1,51.8,0.9
01-Aug-2018,00:30,01-Aug-2018,00:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.6,740.0,132.0,48.0,60.0,6.0,32.8,2.0,252.0,0.3,0.85,0.3,,20.2,18.2,0.3,9.9,51.3,1.7
01-Aug-2018,00:45,01-Aug-2018,01:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.4,740.0,74.0,24.0,61.0,6.0,32.9,2.2,280.0,0.3,0.88,0.9,,19.4,20.0,0.3,10.9,42.0,0.5
01-Aug-2018,01:00,01-Aug-2018,01:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.4,740.0,74.0,24.0,62.0,7.0,32.8,2.6,288.0,0.3,0.89,1.7,,19.4,20.0,0.3,10.9,42.8,0.5
01-Aug-2018,01:15,01-Aug-2018,01:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.4,740.0,74.0,24.0,62.0,6.0,32.8,2.5,254.0,0.3,0.89,1.4,,19.6,18.3,0.4,10.1,44.4,0.1
01-Aug-2018,01:30,01-Aug-2018,01:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.4,740.0,74.0,24.0,61.0,7.0,32.9,2.2,277.0,0.3,0.92,0.6,,19.8,18.0,0.2,9.8,44.6,0.1
01-Aug-2018,01:45,01-Aug-2018,02:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.3,740.0,69.0,26.0,62.0,7.0,33.0,2.1,258.0,0.3,0.9,0.4,,19.4,18.9,0.4,10.3,40.8,0.6
01-Aug-2018,02:00,01-Aug-2018,02:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.1,740.0,69.0,26.0,63.0,7.0,32.8,2.2,264.0,0.3,0.9,0.4,,20.0,17.3,0.4,9.5,42.8,1.3
01-Aug-2018,02:15,01-Aug-2018,02:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.0,740.0,69.0,26.0,62.0,6.0,32.7,2.1,270.0,0.3,0.9,0.4,,20.2,15.8,0.3,8.7,42.4,0.8
01-Aug-2018,02:30,01-Aug-2018,02:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.1,740.0,69.0,26.0,61.0,7.0,32.8,1.9,251.0,0.3,0.88,0.3,,19.9,16.6,0.3,9.1,40.2,0.2
01-Aug-2018,02:45,01-Aug-2018,03:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.2,740.0,58.0,24.0,60.0,7.0,32.9,1.9,256.0,0.3,0.88,0.3,,19.6,17.5,0.3,9.6,40.6,0.9
01-Aug-2018,03:00,01-Aug-2018,03:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.0,740.0,58.0,24.0,61.0,7.0,32.8,2.0,252.0,0.3,0.89,0.3,,19.7,17.3,0.4,9.5,40.5,1.2
01-Aug-2018,03:15,01-Aug-2018,03:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.9,740.0,58.0,24.0,62.0,7.0,33.1,2.1,265.0,0.3,0.89,0.3,,20.0,17.7,0.4,9.7,36.3,1.2
01-Aug-2018,03:30,01-Aug-2018,03:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.8,740.0,58.0,24.0,63.0,7.0,32.9,2.2,280.0,0.3,0.9,0.3,,17.5,17.8,0.6,9.9,33.6,1.2
01-Aug-2018,03:45,01-Aug-2018,04:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.7,740.0,60.0,23.0,63.0,7.0,32.6,2.3,294.0,0.3,,0.3,,15.5,18.9,0.6,10.5,29.3,
01-Aug-2018,04:00,01-Aug-2018,04:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.6,740.0,60.0,23.0,63.0,7.0,32.3,2.4,285.0,0.3,0.93,0.2,,14.2,19.7,0.6,11.0,30.7,1.3
01-Aug-2018,04:15,01-Aug-2018,04:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.5,740.0,60.0,23.0,64.0,7.0,32.0,2.5,284.0,0.3,0.93,0.2,,13.9,19.2,0.4,10.5,30.2,1.5
01-Aug-2018,04:30,01-Aug-2018,04:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.3,740.0,60.0,23.0,64.0,7.0,31.9,2.5,295.0,0.3,0.89,0.2,,13.8,18.1,0.3,9.9,34.5,1.4
01-Aug-2018,04:45,01-Aug-2018,05:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.3,740.0,66.0,21.0,64.0,7.0,31.8,2.3,300.0,0.3,0.9,0.2,,13.9,17.1,0.3,9.4,34.2,1.3
01-Aug-2018,05:00,01-Aug-2018,05:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.2,740.0,66.0,21.0,65.0,7.0,31.6,2.0,291.0,0.3,0.94,0.2,,13.7,16.5,0.4,9.1,33.5,1.0
01-Aug-2018,05:15,01-Aug-2018,05:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.1,740.0,66.0,21.0,65.0,7.0,31.4,1.9,288.0,0.3,0.92,0.2,,14.0,14.7,0.3,8.1,35.7,1.3
01-Aug-2018,05:30,01-Aug-2018,05:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.1,740.0,66.0,21.0,66.0,7.0,31.4,1.8,298.0,0.3,0.92,0.2,,13.8,14.3,0.4,7.9,32.5,1.2
01-Aug-2018,05:45,01-Aug-2018,06:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.1,740.0,59.0,16.0,66.0,10.0,31.5,1.6,286.0,0.3,0.93,0.2,,13.2,15.5,0.6,8.8,26.8,1.0
01-Aug-2018,06:00,01-Aug-2018,06:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.4,740.0,59.0,16.0,66.0,18.0,31.2,1.5,271.0,0.3,0.97,0.2,,13.0,15.9,0.5,8.8,26.5,0.9
01-Aug-2018,06:15,01-Aug-2018,06:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.7,740.0,59.0,16.0,66.0,26.0,31.1,1.5,295.0,0.3,1.0,0.2,,12.9,15.9,0.6,8.9,23.9,0.6
01-Aug-2018,06:30,01-Aug-2018,06:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26.9,740.0,59.0,16.0,66.0,29.0,31.2,1.5,304.0,0.3,0.97,0.3,,12.4,16.7,0.9,9.6,20.2,0.7
01-Aug-2018,06:45,01-Aug-2018,07:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.0,740.0,97.0,23.0,65.0,39.0,31.3,1.5,288.0,0.3,0.98,0.3,,12.3,17.4,1.1,10.2,19.6,1.4
01-Aug-2018,07:00,01-Aug-2018,07:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.3,740.0,97.0,23.0,65.0,58.0,31.3,1.7,316.0,0.3,1.02,0.3,,11.8,18.5,1.9,11.3,16.8,1.7
01-Aug-2018,07:15,01-Aug-2018,07:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",27.7,740.0,97.0,23.0,64.0,75.0,31.7,1.8,313.0,0.3,1.08,0.3,,13.3,20.5,3.2,13.5,14.9,1.5
01-Aug-2018,07:30,01-Aug-2018,07:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",28.4,740.0,97.0,23.0,63.0,97.0,32.1,2.0,314.0,0.3,1.01,0.3,,16.1,20.1,3.4,13.5,18.5,2.0
01-Aug-2018,07:45,01-Aug-2018,08:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",29.0,740.0,142.0,38.0,62.0,134.0,32.5,2.4,326.0,0.3,,0.4,,17.5,19.1,3.0,12.6,21.9,
01-Aug-2018,08:00,01-Aug-2018,08:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",29.7,740.0,142.0,38.0,60.0,161.0,32.6,3.0,313.0,0.3,1.04,0.4,,16.5,21.7,3.4,14.3,20.8,7.0
01-Aug-2018,08:15,01-Aug-2018,08:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.4,740.0,142.0,38.0,59.0,204.0,32.8,4.1,319.0,0.3,1.05,0.4,,16.3,24.1,4.2,16.2,24.8,9.3
01-Aug-2018,08:30,01-Aug-2018,08:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.6,740.0,142.0,38.0,58.0,147.0,33.1,5.4,303.0,0.3,1.03,0.5,,16.3,25.6,4.1,16.9,30.9,9.8
01-Aug-2018,08:45,01-Aug-2018,09:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.5,740.0,195.0,54.0,58.0,156.0,33.2,6.1,323.0,0.3,1.03,0.5,,15.7,27.3,3.9,17.7,34.5,11.0
01-Aug-2018,09:00,01-Aug-2018,09:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.3,740.0,195.0,54.0,57.0,233.0,33.0,6.3,281.0,0.3,1.06,0.5,,15.9,27.8,4.0,18.1,39.1,13.3
01-Aug-2018,09:15,01-Aug-2018,09:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.0,740.0,195.0,54.0,55.0,239.0,33.1,6.4,319.0,0.3,1.04,0.5,,17.0,26.3,3.7,17.0,,14.1
01-Aug-2018,09:30,01-Aug-2018,09:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.4,740.0,195.0,54.0,54.0,257.0,33.3,6.7,308.0,0.3,1.05,0.5,,17.4,26.0,3.3,16.5,74.4,14.0
01-Aug-2018,09:45,01-Aug-2018,10:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.5,740.0,228.0,59.0,53.0,273.0,33.5,6.9,311.0,0.3,1.02,0.6,,17.9,25.2,3.1,16.0,53.3,13.2
01-Aug-2018,10:00,01-Aug-2018,10:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.8,740.0,228.0,59.0,51.0,286.0,33.5,6.7,292.0,0.3,1.0,0.6,,19.0,22.6,2.4,14.0,57.7,11.7
01-Aug-2018,10:15,01-Aug-2018,10:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.1,740.0,228.0,59.0,51.0,317.0,33.6,5.7,305.0,0.3,0.98,0.6,,19.9,20.5,2.0,12.5,61.5,10.3
01-Aug-2018,10:30,01-Aug-2018,10:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.5,740.0,228.0,59.0,50.0,343.0,33.8,4.9,301.0,0.3,0.97,0.6,,20.4,19.2,1.6,11.5,64.4,8.7
01-Aug-2018,10:45,01-Aug-2018,11:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.3,740.0,307.0,53.0,51.0,235.0,34.0,4.6,306.0,0.3,0.96,0.6,,21.5,18.2,1.6,10.9,66.0,7.8
01-Aug-2018,11:00,01-Aug-2018,11:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.2,740.0,307.0,53.0,51.0,242.0,33.9,4.1,307.0,0.3,1.0,0.5,,21.1,19.3,1.7,11.6,63.3,6.9
01-Aug-2018,11:15,01-Aug-2018,11:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.7,740.0,307.0,53.0,50.0,332.0,34.2,3.7,295.0,0.3,1.01,0.4,,21.9,20.3,1.5,12.0,78.8,5.5
01-Aug-2018,11:30,01-Aug-2018,11:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.8,740.0,307.0,53.0,49.0,312.0,34.0,3.8,265.0,0.3,1.0,0.5,,19.8,19.2,0.8,10.9,89.9,5.2
01-Aug-2018,11:45,01-Aug-2018,12:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.0,740.0,295.0,53.0,49.0,303.0,33.6,3.9,309.0,0.3,,0.5,,16.5,17.2,0.8,9.8,95.3,
01-Aug-2018,12:00,01-Aug-2018,12:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.7,740.0,295.0,53.0,49.0,381.0,33.2,4.0,289.0,0.3,0.94,0.4,,15.3,15.5,0.6,8.8,95.6,5.3
01-Aug-2018,12:15,01-Aug-2018,12:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.3,740.0,295.0,53.0,49.0,379.0,33.0,3.6,310.0,0.3,0.95,0.4,,14.4,14.6,0.5,8.2,98.2,6.5
01-Aug-2018,12:30,01-Aug-2018,12:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.5,740.0,295.0,53.0,49.0,367.0,32.9,3.2,277.0,0.3,0.96,0.4,,13.9,14.6,0.8,8.4,104.4,6.9
01-Aug-2018,12:45,01-Aug-2018,13:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.5,740.0,319.0,57.0,49.0,364.0,33.7,3.3,281.0,0.3,0.92,0.4,,16.0,15.2,0.9,8.8,111.0,5.9
01-Aug-2018,13:00,01-Aug-2018,13:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.9,740.0,319.0,57.0,48.0,363.0,34.2,3.4,270.0,0.3,0.94,0.4,,19.8,14.8,0.7,8.5,114.9,6.3
01-Aug-2018,13:15,01-Aug-2018,13:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.1,740.0,319.0,57.0,48.0,357.0,33.7,3.6,274.0,0.3,0.96,0.4,,17.9,13.7,0.6,7.8,108.6,8.9
01-Aug-2018,13:30,01-Aug-2018,13:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.2,740.0,319.0,57.0,47.0,349.0,34.1,3.7,287.0,0.3,0.93,0.5,,19.2,14.5,0.7,8.3,107.7,9.4
01-Aug-2018,13:45,01-Aug-2018,14:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.3,740.0,332.0,63.0,48.0,303.0,33.9,3.9,291.0,0.3,0.94,0.5,,18.7,14.2,0.7,8.1,106.0,8.6
01-Aug-2018,14:00,01-Aug-2018,14:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.6,740.0,332.0,63.0,48.0,334.0,34.1,3.8,280.0,0.3,0.95,0.5,,18.7,14.0,0.8,8.1,117.4,8.3
01-Aug-2018,14:15,01-Aug-2018,14:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.5,740.0,332.0,63.0,48.0,264.0,34.0,3.8,218.0,0.3,0.95,0.4,,18.4,13.2,0.7,7.6,114.2,9.0
01-Aug-2018,14:30,01-Aug-2018,14:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.3,740.0,332.0,63.0,48.0,316.0,33.6,3.8,256.0,0.3,0.94,0.5,,16.4,12.8,0.4,7.1,108.2,9.5
01-Aug-2018,14:45,01-Aug-2018,15:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.5,740.0,324.0,61.0,48.0,296.0,33.4,3.7,205.0,0.3,0.93,0.4,,15.6,12.8,0.7,7.3,98.0,11.7
01-Aug-2018,15:00,01-Aug-2018,15:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.4,740.0,324.0,61.0,48.0,277.0,33.1,3.7,260.0,0.3,0.93,0.4,,15.0,12.5,0.6,7.1,100.6,12.4
01-Aug-2018,15:15,01-Aug-2018,15:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.7,740.0,324.0,61.0,48.0,261.0,33.0,3.7,312.0,0.3,0.94,0.3,,14.7,12.7,0.7,7.4,100.2,12.7
01-Aug-2018,15:30,01-Aug-2018,15:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.5,740.0,324.0,61.0,48.0,257.0,33.1,3.7,235.0,0.3,0.92,0.4,,15.8,13.3,0.8,7.8,96.7,14.2
01-Aug-2018,15:45,01-Aug-2018,16:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.8,740.0,325.0,60.0,48.0,211.0,33.5,3.6,256.0,0.3,,0.3,,21.1,12.9,0.8,7.5,92.9,
01-Aug-2018,16:00,01-Aug-2018,16:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.5,740.0,325.0,60.0,49.0,170.0,33.7,3.8,256.0,0.3,0.9,0.3,,22.0,12.6,0.8,7.4,87.3,13.0
01-Aug-2018,16:15,01-Aug-2018,16:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.2,740.0,325.0,60.0,49.0,134.0,34.0,3.7,280.0,0.3,0.9,0.4,,21.7,13.4,0.9,7.8,84.7,12.0
01-Aug-2018,16:30,01-Aug-2018,16:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",35.0,740.0,325.0,60.0,49.0,116.0,34.3,3.6,284.0,0.3,0.89,0.3,,21.6,14.2,1.0,8.4,83.8,11.6
01-Aug-2018,16:45,01-Aug-2018,17:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.8,740.0,314.0,63.0,50.0,69.0,34.6,4.0,331.0,0.3,0.89,0.3,,21.9,14.7,0.6,8.3,81.5,11.3
01-Aug-2018,17:00,01-Aug-2018,17:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.5,740.0,314.0,63.0,51.0,59.0,34.6,4.3,317.0,0.3,0.93,0.3,,21.8,15.1,0.6,8.5,78.8,10.8
01-Aug-2018,17:15,01-Aug-2018,17:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.4,740.0,314.0,63.0,51.0,37.0,34.7,4.1,241.0,0.3,0.93,0.3,,21.8,15.5,0.6,8.8,72.1,8.9
01-Aug-2018,17:30,01-Aug-2018,17:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.3,740.0,314.0,63.0,52.0,35.0,34.8,4.1,218.0,0.3,0.92,0.3,,21.9,15.6,0.4,8.7,66.5,8.1
01-Aug-2018,17:45,01-Aug-2018,18:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.2,740.0,305.0,59.0,52.0,30.0,35.0,4.6,247.0,0.3,0.95,0.4,,22.3,16.7,0.7,9.4,56.8,6.1
01-Aug-2018,18:00,01-Aug-2018,18:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.2,740.0,305.0,59.0,51.0,34.0,34.9,4.7,192.0,0.3,0.92,0.4,,23.1,15.8,0.7,8.9,63.9,4.5
01-Aug-2018,18:15,01-Aug-2018,18:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",34.1,740.0,305.0,59.0,52.0,26.0,34.9,4.6,122.0,0.3,1.06,0.4,,23.4,13.6,0.6,7.7,62.2,4.3
01-Aug-2018,18:30,01-Aug-2018,18:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.8,740.0,305.0,59.0,51.0,19.0,33.8,4.4,34.0,0.3,1.03,0.4,,24.3,13.5,0.5,7.6,61.1,3.7
01-Aug-2018,18:45,01-Aug-2018,19:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.4,740.0,311.0,55.0,53.0,11.0,31.4,3.9,285.0,0.3,1.08,0.4,,22.5,12.8,0.1,6.8,59.3,3.7
01-Aug-2018,19:00,01-Aug-2018,19:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",33.0,740.0,311.0,55.0,53.0,8.0,29.7,3.7,211.0,0.3,1.15,0.4,,19.7,15.1,0.2,8.2,52.8,4.2
01-Aug-2018,19:15,01-Aug-2018,19:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.1,740.0,311.0,55.0,51.0,7.0,28.7,3.5,118.0,0.3,1.17,0.4,,17.8,16.3,0.3,9.0,58.3,4.5
01-Aug-2018,19:30,01-Aug-2018,19:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.8,740.0,311.0,55.0,51.0,7.0,28.7,4.0,82.0,0.3,1.21,0.6,,17.4,17.3,0.3,9.4,60.7,5.3
01-Aug-2018,19:45,01-Aug-2018,20:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.0,740.0,220.0,70.0,52.0,7.0,30.6,4.6,116.0,0.3,,0.9,,18.4,16.4,0.2,8.9,56.9,
01-Aug-2018,20:00,01-Aug-2018,20:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.1,740.0,220.0,70.0,53.0,7.0,31.9,5.0,156.0,0.3,1.32,1.0,,16.0,17.8,0.4,9.8,45.8,5.3
01-Aug-2018,20:15,01-Aug-2018,20:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",32.0,740.0,220.0,70.0,54.0,7.0,32.6,5.6,214.0,0.3,1.6,1.0,,7.6,36.9,1.9,21.1,22.4,5.4
01-Aug-2018,20:30,01-Aug-2018,20:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.8,740.0,220.0,70.0,53.0,7.0,33.1,6.8,178.0,0.3,1.52,1.5,,7.3,41.0,1.8,23.3,21.4,5.3
01-Aug-2018,20:45,01-Aug-2018,21:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.9,740.0,243.0,102.0,53.0,7.0,33.4,8.4,229.0,0.3,1.64,2.5,,12.4,32.6,0.9,18.1,23.7,6.5
01-Aug-2018,21:00,01-Aug-2018,21:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.7,740.0,243.0,102.0,54.0,7.0,33.4,8.7,183.0,0.3,1.64,2.9,,7.0,41.1,7.3,27.8,12.4,6.7
01-Aug-2018,21:15,01-Aug-2018,21:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.6,740.0,243.0,102.0,55.0,7.0,33.4,8.5,186.0,0.3,1.45,3.0,,15.1,31.8,1.0,17.7,20.6,6.4
01-Aug-2018,21:30,01-Aug-2018,21:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.7,740.0,243.0,102.0,54.0,7.0,33.4,8.3,183.0,0.3,1.32,2.9,,15.9,30.9,0.9,17.2,27.3,5.7
01-Aug-2018,21:45,01-Aug-2018,22:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.8,740.0,230.0,78.0,55.0,7.0,33.4,7.8,196.0,0.3,1.25,2.4,,17.6,24.6,0.8,13.7,31.2,5.5
01-Aug-2018,22:00,01-Aug-2018,22:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.6,740.0,230.0,78.0,58.0,7.0,33.2,7.0,182.0,0.3,1.25,1.9,,16.9,23.7,0.5,13.1,27.5,4.6
01-Aug-2018,22:15,01-Aug-2018,22:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.2,740.0,230.0,78.0,60.0,7.0,33.1,6.2,183.0,0.3,1.21,1.6,,16.7,22.7,0.2,12.2,24.7,4.6
01-Aug-2018,22:30,01-Aug-2018,22:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.1,740.0,230.0,78.0,61.0,7.0,33.2,5.8,174.0,0.3,1.16,1.5,,16.9,21.0,0.3,11.4,27.8,3.4
01-Aug-2018,22:45,01-Aug-2018,23:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.0,740.0,262.0,70.0,62.0,7.0,33.2,5.3,167.0,0.3,1.09,1.3,,17.1,19.2,0.3,10.5,32.3,4.3
01-Aug-2018,23:00,01-Aug-2018,23:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.0,740.0,262.0,70.0,62.0,7.0,33.1,4.9,170.0,0.3,1.06,1.2,,16.8,17.8,0.4,9.8,35.3,4.1
01-Aug-2018,23:15,01-Aug-2018,23:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",31.0,740.0,262.0,70.0,62.0,7.0,33.0,4.5,179.0,0.3,1.06,1.1,,16.2,17.6,0.3,9.6,34.8,4.6
01-Aug-2018,23:30,01-Aug-2018,23:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.8,740.0,262.0,70.0,62.0,7.0,32.9,4.2,192.0,0.3,1.08,0.9,,16.8,18.6,0.3,10.2,29.6,4.3
01-Aug-2018,23:45,02-Aug-2018,00:00,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.7,740.0,260.0,61.0,62.0,6.0,31.3,4.1,202.0,0.3,,0.9,,18.0,24.4,0.3,13.2,18.2,
02-Aug-2018,00:00,02-Aug-2018,00:15,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.6,740.0,260.0,61.0,62.0,7.0,29.1,3.9,186.0,0.3,1.19,1.0,,9.8,35.1,3.8,21.8,9.0,4.1
02-Aug-2018,00:15,02-Aug-2018,00:30,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.5,740.0,260.0,61.0,62.0,7.0,28.0,3.7,186.0,0.3,1.2,1.0,,8.9,38.7,3.3,23.3,11.4,4.8
02-Aug-2018,00:30,02-Aug-2018,00:45,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",30.3,740.0,260.0,61.0,63.0,7.0,27.5,3.5,198.0,0.3,1.19,1.0,,11.2,36.3,1.5,20.5,11.6,4.6
