﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2011,00:00,01-Dec-2011,00:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",314.49,,,,,56.85,0.0,,,,122.58,59.58,,,48.24,1.78,,34.95,,,,,,,,0.4,,,26.82,25.66,,,,,,,,,
01-Dec-2011,00:15,01-Dec-2011,00:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",348.81,,,,,56.96,0.0,,,,115.7,58.37,,,47.42,1.91,,33.73,,,,,,,,0.4,,,30.82,25.6,,,,,,,,,
01-Dec-2011,00:30,01-Dec-2011,00:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",149.76,,,,,58.44,0.0,,,,115.77,68.5,,,,1.88,,43.87,,,,,,,,0.4,,,30.88,25.28,,,,,,,,,
01-Dec-2011,00:45,01-Dec-2011,01:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",265.58,,,,,59.15,0.0,,,,116.51,72.94,,,,1.81,,48.31,,,,,,,,0.4,,,26.11,25.09,,,,,,,,,
01-Dec-2011,01:00,01-Dec-2011,01:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",95.92,,,,,60.08,0.0,,,,116.95,67.25,,,42.98,1.71,,42.62,,,,,,,,0.4,,,23.7,24.8,,,,,,,,,
01-Dec-2011,01:15,01-Dec-2011,01:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",356.61,,,,,61.31,0.0,,,,112.85,65.77,,,49.01,1.74,,41.14,,,,,,,,0.4,,,21.78,24.43,,,,,,,,,
01-Dec-2011,01:30,01-Dec-2011,01:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",352.74,,,,,62.76,0.0,,,,108.23,70.7,,,,1.64,,46.06,,,,,,,,0.4,,,18.76,24.09,,,,,,,,,
01-Dec-2011,01:45,01-Dec-2011,02:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",312.09,,,,,62.73,0.0,,,,101.9,66.05,,,,1.56,,41.41,,,,,,,,0.4,,,16.04,24.1,,,,,,,,,
01-Dec-2011,02:00,01-Dec-2011,02:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",341.22,,,,,62.38,0.0,,,,95.88,62.03,,,36.03,1.53,,37.4,,,,,,,,0.4,,,15.51,24.03,,,,,,,,,
01-Dec-2011,02:15,01-Dec-2011,02:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",282.54,,,,,61.81,0.0,,,,91.72,59.21,,,35.38,1.46,,34.57,,,,,,,,0.4,,,12.73,24.11,,,,,,,,,
01-Dec-2011,02:30,01-Dec-2011,02:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",341.85,,,,,62.66,0.0,,,,86.45,60.83,,,,1.46,,36.2,,,,,,,,0.4,,,18.65,23.86,,,,,,,,,
01-Dec-2011,02:45,01-Dec-2011,03:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",319.24,,,,,62.48,0.0,,,,84.65,60.24,,,,1.48,,35.6,,,,,,,,0.4,,,15.27,23.86,,,,,,,,,
