﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2016,00:00,01-Dec-2016,00:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.45,243.12,,,,,,,,,189.44,103.5,21.88,60.77,49.29,0.03,,17.43,,15.5,365.41,,,,,,,6.58,16.39,22.9,27.1,,,,14.58,,,,
01-Dec-2016,00:15,01-Dec-2016,00:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.39,195.45,,,,,,,,,204.91,108.93,15.05,58.32,42.54,0.03,,53.45,,15.51,353.8,,,,,,,5.94,18.81,23.12,26.88,,,,14.52,,,,
01-Dec-2016,00:30,01-Dec-2016,00:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.75,150.34,,,,,,,,,204.91,108.93,51.82,71.45,78.89,0.03,,31.21,,16.02,318.77,,,,,,,12.82,32.45,22.4,25.41,,,,13.85,,,,
01-Dec-2016,00:45,01-Dec-2016,01:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.58,150.35,,,,,,,,,204.91,108.93,67.36,69.95,91.39,0.03,,17.38,,15.79,322.62,,,,,,,12.84,32.18,21.85,24.16,,,,14.4,,,,
01-Dec-2016,01:00,01-Dec-2016,01:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.55,168.28,,,,,,,,,197.65,111.44,72.22,74.42,97.46,0.03,,15.07,,15.72,413.63,,,,,,,13.77,38.49,21.43,26.77,,,,14.72,,,,
01-Dec-2016,01:15,01-Dec-2016,01:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.53,168.34,,,,,,,,,188.96,114.44,63.26,64.96,84.67,0.03,,13.14,,15.88,430.08,,,,,,,12.6,26.16,21.5,24.46,,,,14.77,,,,
01-Dec-2016,01:30,01-Dec-2016,01:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.67,152.27,,,,,,,,,188.96,114.44,95.49,72.68,115.05,0.03,,13.26,,15.86,483.13,,,,,,,15.75,41.32,21.18,27.06,,,,15.03,,,,
01-Dec-2016,01:45,01-Dec-2016,02:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.62,142.65,,,,,,,,,188.96,114.44,75.24,70.25,97.04,0.03,,12.28,,15.95,456.45,,,,,,,12.58,36.89,21.11,27.18,,,,15.29,,,,
01-Dec-2016,02:00,01-Dec-2016,02:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.44,148.95,,,,,,,,,189.34,109.21,70.57,64.6,90.34,0.03,,11.05,,15.96,552.25,,,,,,,11.52,25.79,20.88,27.68,,,,15.65,,,,
01-Dec-2016,02:15,01-Dec-2016,02:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.6,151.16,,,,,,,,,189.8,102.96,69.54,61.67,87.98,0.03,,11.55,,16.03,554.5,,,,,,,10.05,21.98,21.05,27.81,,,,15.71,,,,
01-Dec-2016,02:30,01-Dec-2016,02:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.54,152.22,,,,,,,,,189.8,102.96,66.85,66.69,88.45,0.03,,12.07,,16.12,532.46,,,,,,,10.27,20.83,20.81,27.73,,,,15.8,,,,
01-Dec-2016,02:45,01-Dec-2016,03:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.37,173.61,,,,,,,,,189.8,102.96,61.08,64.03,82.43,0.03,,11.32,,16.13,515.27,,,,,,,9.74,20.56,20.71,27.72,,,,15.76,,,,
01-Dec-2016,03:00,01-Dec-2016,03:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.32,2.53,,,,,,,,,180.91,95.57,51.49,60.07,72.67,0.04,,11.59,,15.99,496.6,,,,,,,9.78,14.38,21.12,27.84,,,,15.77,,,,
01-Dec-2016,03:15,01-Dec-2016,03:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.39,49.65,,,,,,,,,170.29,86.75,50.85,64.24,74.34,0.04,,15.14,,15.81,482.73,,,,,,,9.4,16.42,21.36,28.03,,,,15.83,,,,
01-Dec-2016,03:30,01-Dec-2016,03:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.68,20.4,,,,,,,,,170.29,86.75,42.82,64.48,68.03,0.04,,18.53,,15.6,464.48,,,,,,,9.49,17.72,21.68,27.78,,,,15.69,,,,
01-Dec-2016,03:45,01-Dec-2016,04:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.65,16.18,,,,,,,,,170.29,86.75,30.99,68.85,60.83,0.04,,17.87,,15.47,454.65,,,,,,,7.76,25.88,21.69,28.07,,,,15.93,,,,
01-Dec-2016,04:00,01-Dec-2016,04:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.48,83.94,,,,,,,,,161.92,85.87,51.39,66.18,75.78,0.04,,17.29,,15.63,442.76,,,,,,,9.6,38.66,21.23,28.16,,,,17.0,,,,
01-Dec-2016,04:15,01-Dec-2016,04:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.59,144.66,,,,,,,,,151.91,84.83,67.27,60.78,85.7,0.04,,16.43,,15.72,433.94,,,,,,,10.83,49.38,20.37,28.22,,,,18.34,,,,
01-Dec-2016,04:30,01-Dec-2016,04:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.42,159.66,,,,,,,,,151.91,84.83,63.83,57.72,81.34,0.04,,15.47,,15.63,424.31,,,,,,,9.67,48.68,19.98,28.58,,,,18.51,,,,
01-Dec-2016,04:45,01-Dec-2016,05:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.13,214.5,,,,,,,,,151.91,84.83,59.72,56.57,77.45,0.04,,12.83,,15.3,418.94,,,,,,,9.54,42.32,19.82,28.95,,,,17.86,,,,
01-Dec-2016,05:00,01-Dec-2016,05:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.47,338.21,,,,,,,,,138.47,79.58,32.28,54.05,54.13,0.04,,12.92,,15.1,405.33,,,,,,,7.56,37.32,20.44,26.02,,,,17.52,,,,
01-Dec-2016,05:15,01-Dec-2016,05:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.57,13.33,,,,,,,,,122.41,73.32,20.88,51.08,43.43,0.04,,15.58,,15.49,393.4,,,,,,,6.81,31.48,20.92,28.73,,,,17.39,,,,
01-Dec-2016,05:30,01-Dec-2016,05:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.07,186.67,,,,,,,,,122.41,73.32,21.31,51.09,43.78,0.04,,17.7,,14.88,379.5,,,,,,,7.59,30.91,20.59,28.42,,,,17.31,,,,
01-Dec-2016,05:45,01-Dec-2016,06:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.38,204.26,,,,,,,,,122.41,73.32,32.17,53.16,53.57,0.04,,19.12,,14.87,372.46,,,,,,,7.82,32.51,19.96,28.62,,,,17.89,,,,
01-Dec-2016,06:00,01-Dec-2016,06:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.35,191.95,,,,,,,,,128.52,75.07,53.72,55.56,72.11,0.04,,18.1,,14.95,368.5,,,,,,,9.5,26.68,19.84,29.16,,,,18.22,,,,
01-Dec-2016,06:15,01-Dec-2016,06:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.54,167.19,,,,,,,,,135.83,77.15,75.26,53.92,88.52,0.04,,16.46,,14.91,361.61,,,,,,,11.02,28.27,19.65,29.38,,,,18.42,,,,
01-Dec-2016,06:30,01-Dec-2016,06:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.76,155.76,,,,,,,,,135.83,77.15,73.52,54.4,87.38,0.04,,13.27,,14.78,353.09,,,,,,,10.09,27.65,19.19,26.36,,,,18.25,,,,
01-Dec-2016,06:45,01-Dec-2016,07:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.51,165.2,,,,,,,,,135.83,77.15,51.16,56.0,70.28,0.04,,13.44,,14.77,348.34,,,,,,,9.71,25.62,18.84,29.75,,,,18.32,,,,
01-Dec-2016,07:00,01-Dec-2016,07:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.53,154.81,,,,,8.3,,,,138.95,79.06,62.01,54.07,77.98,0.04,,13.32,,15.06,343.01,,,,,,,11.42,25.31,18.81,27.45,,,,18.64,,,,
01-Dec-2016,07:15,01-Dec-2016,07:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.58,157.1,,,,,23.7,,,,142.67,81.33,53.8,56.76,72.8,0.04,,13.77,,15.59,313.77,,,,,,,11.08,25.71,18.81,28.58,,,,17.92,,,,
01-Dec-2016,07:30,01-Dec-2016,07:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.76,147.83,,,,,37.6,,,,142.67,81.33,55.13,63.81,77.55,0.04,,13.5,,15.85,306.01,,,,,,,12.39,29.0,19.22,28.37,,,,17.93,,,,
01-Dec-2016,07:45,01-Dec-2016,08:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.92,149.49,,,,,58.0,,,,142.67,81.33,40.23,68.76,68.19,0.04,,12.99,,16.11,313.18,,,,,,,11.72,35.43,19.66,28.94,,,,18.1,,,,
01-Dec-2016,08:00,01-Dec-2016,08:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.63,157.15,,,,,66.8,,,,149.92,89.43,42.83,68.0,69.88,0.04,,13.76,,16.46,358.65,,,,,,,10.89,33.57,20.32,28.88,,,,17.9,,,,
01-Dec-2016,08:15,01-Dec-2016,08:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.31,210.87,,,,,94.8,,,,158.57,99.1,37.1,65.15,63.79,0.04,,13.95,,16.91,381.82,,,,,,,9.33,36.31,21.25,29.3,,,,18.0,,,,
01-Dec-2016,08:30,01-Dec-2016,08:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.55,309.84,,,,,118.2,,,,158.57,99.1,28.97,69.46,59.53,0.04,,17.15,,16.88,368.36,,,,,,,8.52,44.66,21.78,29.42,,,,17.96,,,,
01-Dec-2016,08:45,01-Dec-2016,09:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.44,65.07,,,,,151.8,,,,158.57,99.1,25.73,74.1,59.35,0.04,,18.1,,17.01,352.74,,,,,,,8.32,66.06,22.62,29.64,,,,17.94,,,,
01-Dec-2016,09:00,01-Dec-2016,09:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.54,348.05,,,,,166.1,,,,174.13,99.93,27.82,76.25,62.32,0.04,,20.03,,17.16,342.53,,,,,,,8.13,59.68,23.14,29.24,,,,17.89,,,,
01-Dec-2016,09:15,01-Dec-2016,09:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.92,94.65,,,,,180.3,,,,192.71,100.92,25.52,76.09,60.88,0.04,,22.25,,17.21,330.17,,,,,,,8.27,166.93,23.74,28.93,,,,17.86,,,,
01-Dec-2016,09:30,01-Dec-2016,09:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.52,316.05,,,,,184.2,,,,192.71,100.92,17.6,71.06,51.36,0.04,,38.82,,17.95,317.67,,,,,,,7.14,222.07,24.09,28.75,,,,17.91,,,,
01-Dec-2016,09:45,01-Dec-2016,10:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.5,310.03,,,,,263.9,,,,192.71,100.92,10.8,63.04,41.6,0.04,,65.2,,17.56,307.68,,,,,,,6.68,167.21,24.56,26.12,,,,17.81,,,,
01-Dec-2016,10:00,01-Dec-2016,10:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.59,63.82,,,,,307.4,,,,198.51,99.44,17.73,69.98,51.52,0.04,,54.39,,17.63,296.78,,,,,,,7.55,229.06,26.07,25.85,,,,17.61,,,,
01-Dec-2016,10:15,01-Dec-2016,10:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.55,36.17,,,,,152.6,,,,205.44,97.68,15.54,72.6,50.39,0.04,,66.23,,17.61,285.03,,,,,,,6.64,271.91,26.64,28.0,,,,17.24,,,,
01-Dec-2016,10:30,01-Dec-2016,10:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.66,99.94,,,,,105.7,,,,205.44,97.68,17.58,72.88,52.85,0.03,,56.0,,17.51,272.72,,,,,,,6.89,305.88,27.45,25.11,,,,17.08,,,,
01-Dec-2016,10:45,01-Dec-2016,11:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.33,38.89,,,,,108.5,,,,205.44,97.68,16.35,68.21,49.94,0.04,,64.29,,17.34,265.28,,,,,,,6.58,429.11,28.25,27.41,,,,17.09,,,,
01-Dec-2016,11:00,01-Dec-2016,11:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.52,14.35,,,,,300.1,,,,203.75,96.72,10.34,62.22,40.8,0.04,,107.86,,17.0,255.16,,,,,,,6.31,385.36,28.52,27.14,,,,16.92,,,,
01-Dec-2016,11:15,01-Dec-2016,11:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.4,76.72,,,,,327.6,,,,201.72,95.57,11.27,66.51,46.26,0.04,,99.0,,16.41,244.81,,,,,,,7.06,373.51,29.24,26.78,,,,16.79,,,,
01-Dec-2016,11:30,01-Dec-2016,11:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.06,353.62,,,,,124.1,,,,201.72,95.57,11.56,63.93,42.67,0.03,,126.72,,15.81,235.42,,,,,,,5.99,393.49,30.14,23.57,,,,16.49,,,,
01-Dec-2016,11:45,01-Dec-2016,12:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.41,330.27,,,,,126.7,,,,201.72,95.57,8.4,59.37,37.75,0.03,,140.66,,15.26,226.57,,,,,,,6.16,312.99,30.5,26.0,,,,16.33,,,,
01-Dec-2016,12:00,01-Dec-2016,12:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.29,328.99,,,,,200.8,,,,192.34,93.65,6.72,56.03,34.66,0.03,,142.98,,14.67,218.17,,,,,,,5.4,27.39,31.28,23.33,,,,16.01,,,,
01-Dec-2016,12:15,01-Dec-2016,12:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.54,291.5,,,,,389.4,,,,181.12,91.35,2.95,47.17,27.01,0.03,,163.62,,14.29,210.63,,,,,,,4.9,236.87,31.89,25.28,,,,15.9,,,,
01-Dec-2016,12:30,01-Dec-2016,12:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.16,114.92,,,,,430.4,,,,181.12,91.35,3.19,45.92,26.55,0.03,,176.84,,13.68,201.44,,,,,,,4.27,145.02,32.42,22.52,,,,15.51,,,,
01-Dec-2016,12:45,01-Dec-2016,13:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.25,79.02,,,,,390.1,,,,181.12,91.35,7.04,44.54,28.92,0.03,,144.24,,13.2,194.63,,,,,,,4.52,212.85,32.61,24.3,,,,15.29,,,,
01-Dec-2016,13:00,01-Dec-2016,13:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.24,163.41,,,,,376.4,,,,167.9,78.8,4.35,41.61,25.23,0.03,,158.33,,12.68,186.85,,,,,,,5.07,150.76,33.17,23.75,,,,14.92,,,,
01-Dec-2016,13:15,01-Dec-2016,13:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.7,328.06,,,,,403.0,,,,152.09,63.8,2.76,39.67,22.94,0.03,,175.25,,12.01,179.45,,,,,,,4.29,103.09,33.32,20.69,,,,14.46,,,,
01-Dec-2016,13:30,01-Dec-2016,13:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.36,319.07,,,,,364.4,,,,152.09,63.8,3.67,43.25,25.54,0.03,,162.91,,11.43,177.01,,,,,,,4.33,142.68,33.43,22.62,,,,14.17,,,,
01-Dec-2016,13:45,01-Dec-2016,14:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.68,27.78,,,,,425.0,,,,152.09,63.8,4.78,46.6,28.18,0.03,,163.23,,10.84,170.25,,,,,,,4.63,135.37,33.75,20.31,,,,13.97,,,,
01-Dec-2016,14:00,01-Dec-2016,14:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.65,5.14,,,,,369.7,,,,132.63,48.48,3.93,48.61,28.55,0.03,,260.17,,10.24,164.3,,,,,,,3.08,156.61,33.71,21.98,,,,13.66,,,,
01-Dec-2016,14:15,01-Dec-2016,14:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.8,338.67,,,,,363.8,,,,109.36,48.48,4.02,47.92,28.72,0.03,,115.28,,9.6,156.87,,,,,,,4.06,128.73,33.58,19.04,,,,13.24,,,,
01-Dec-2016,14:30,01-Dec-2016,14:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.17,291.94,,,,,383.6,,,,109.36,48.48,5.67,45.29,28.48,0.03,,130.96,,9.25,151.16,,,,,,,5.89,137.83,33.57,19.07,,,,12.98,,,,
01-Dec-2016,14:45,01-Dec-2016,15:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.55,297.99,,,,,415.3,,,,109.36,48.48,5.26,47.97,29.28,0.03,,157.14,,8.95,147.5,,,,,,,4.57,76.37,34.04,20.93,,,,12.85,,,,
01-Dec-2016,15:00,01-Dec-2016,15:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.92,296.13,,,,,373.9,,,,105.16,47.27,4.43,48.37,28.82,0.03,,162.44,,8.79,147.37,,,,,,,4.56,53.58,34.35,21.32,,,,13.04,,,,
01-Dec-2016,15:15,01-Dec-2016,15:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.61,319.24,,,,,332.4,,,,100.13,45.83,3.57,50.52,29.24,0.03,,150.46,,8.27,142.44,,,,,,,4.8,154.32,34.1,20.98,,,,12.72,,,,
01-Dec-2016,15:30,01-Dec-2016,15:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.68,358.3,,,,,278.6,,,,100.13,45.83,2.4,46.99,26.47,0.03,,178.69,,7.97,140.37,,,,,,,3.78,105.68,34.14,21.17,,,,12.76,,,,
01-Dec-2016,15:45,01-Dec-2016,16:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.93,33.67,,,,,247.5,,,,100.13,45.83,4.61,52.33,31.04,0.03,,132.03,,7.65,138.17,,,,,,,4.09,161.26,34.0,19.43,,,,12.78,,,,
01-Dec-2016,16:00,01-Dec-2016,16:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.45,328.89,,,,,199.3,,,,103.83,43.92,4.12,54.31,31.68,0.03,,225.18,,7.28,134.69,,,,,,,4.39,131.54,34.13,20.94,,,,12.45,,,,
01-Dec-2016,16:15,01-Dec-2016,16:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.83,252.97,,,,,87.6,,,,108.25,41.63,2.86,51.44,29.17,0.03,,161.71,,7.08,134.09,,,,,,,3.97,68.21,33.26,21.18,,,,12.7,,,,
01-Dec-2016,16:30,01-Dec-2016,16:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.78,263.99,,,,,163.2,,,,108.25,41.63,3.64,51.45,29.8,0.03,,179.05,,7.02,135.36,,,,,,,5.11,52.93,32.89,19.86,,,,12.96,,,,
01-Dec-2016,16:45,01-Dec-2016,17:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.89,254.58,,,,,140.6,,,,108.25,41.63,2.77,53.49,30.5,0.03,,135.21,,6.91,134.01,,,,,,,5.27,46.06,32.89,20.01,,,,13.01,,,,
01-Dec-2016,17:00,01-Dec-2016,17:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.07,248.48,,,,,95.0,,,,121.37,40.72,4.8,51.68,30.85,0.03,,160.79,,6.82,132.4,,,,,,,5.7,41.43,31.76,21.86,,,,12.85,,,,
01-Dec-2016,17:15,01-Dec-2016,17:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.97,248.2,,,,,32.8,,,,137.05,39.63,5.83,53.34,32.54,0.03,,157.45,,6.81,132.44,,,,,,,5.67,35.96,30.85,22.25,,,,12.97,,,,
01-Dec-2016,17:30,01-Dec-2016,17:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.1,237.84,,,,,9.3,,,,137.05,39.63,4.1,51.96,30.44,0.03,,150.26,,6.68,130.91,,,,,,,6.02,36.83,29.88,22.31,,,,12.94,,,,
01-Dec-2016,17:45,01-Dec-2016,18:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.91,261.84,,,,,0.7,,,,137.05,39.63,6.44,54.41,33.59,0.03,,146.81,,6.55,128.61,,,,,,,5.02,37.0,29.07,22.29,,,,12.81,,,,
01-Dec-2016,18:00,01-Dec-2016,18:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.82,267.98,,,,,,,,,130.02,42.31,3.88,54.24,31.45,0.03,,135.98,,6.57,126.98,,,,,,,4.93,40.81,28.46,22.43,,,,12.88,,,,
01-Dec-2016,18:15,01-Dec-2016,18:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.9,259.96,,,,,,,,,121.62,45.51,4.86,51.68,30.89,0.03,,138.69,,6.66,126.01,,,,,,,5.32,40.05,28.1,21.16,,,,12.93,,,,
01-Dec-2016,18:30,01-Dec-2016,18:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.0,270.18,,,,,,,,,121.62,45.51,5.31,52.07,31.47,0.03,,135.18,,6.67,123.28,,,,,,,4.7,34.71,27.81,22.66,,,,12.86,,,,
01-Dec-2016,18:45,01-Dec-2016,19:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.94,270.57,,,,,,,,,121.62,45.51,3.41,50.4,29.07,0.03,,131.76,,6.64,122.64,,,,,,,4.44,31.75,27.48,22.75,,,,12.89,,,,
01-Dec-2016,19:00,01-Dec-2016,19:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.78,258.17,,,,,,,,,130.54,49.09,3.33,50.51,29.06,0.03,,128.86,,6.62,121.25,,,,,,,5.28,29.65,27.28,21.37,,,,12.79,,,,
01-Dec-2016,19:15,01-Dec-2016,19:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.93,264.83,,,,,,,,,141.2,53.37,3.83,52.2,30.34,0.03,,120.78,,6.7,120.42,,,,,,,4.7,29.36,27.15,22.77,,,,12.76,,,,
01-Dec-2016,19:30,01-Dec-2016,19:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.68,295.99,,,,,,,,,141.2,53.37,6.06,53.68,32.91,0.03,,110.85,,6.78,118.07,,,,,,,5.58,32.03,27.08,22.67,,,,12.68,,,,
01-Dec-2016,19:45,01-Dec-2016,20:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.35,272.16,,,,,,,,,141.2,53.37,7.68,68.11,41.75,0.03,,104.84,,6.97,119.13,,,,,,,6.3,63.54,26.98,23.24,,,,13.0,,,,
01-Dec-2016,20:00,01-Dec-2016,20:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.22,263.69,,,,,,,,,137.29,53.37,7.6,62.51,38.75,0.03,,66.31,,7.2,117.62,,,,,,,5.5,64.1,26.51,21.83,,,,12.97,,,,
01-Dec-2016,20:15,01-Dec-2016,20:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.15,358.95,,,,,,,,,132.62,63.71,8.11,63.02,39.44,0.03,,40.73,,7.27,116.46,,,,,,,5.72,45.23,26.22,23.32,,,,12.89,,,,
01-Dec-2016,20:30,01-Dec-2016,20:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.43,128.42,,,,,,,,,132.62,63.71,15.18,65.8,46.55,0.03,,37.13,,7.4,116.84,,,,,,,7.39,37.05,25.91,22.22,,,,13.13,,,,
01-Dec-2016,20:45,01-Dec-2016,21:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.32,132.99,,,,,,,,,132.62,63.71,37.98,72.71,68.56,0.03,,17.43,,7.69,116.62,,,,,,,8.78,34.15,25.45,21.68,,,,13.29,,,,
